sample_id,prompt,audio,person_image,product_image,pose_video,ref_pose_image
aligned_fb01_custom_motion1,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion1_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123_pose.png
aligned_fb02_custom_motion1,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImagec13ac940fa4ee5cc9ba7eb4cab1f7535b6007194.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion1_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImagec13ac940fa4ee5cc9ba7eb4cab1f7535b6007194_pose.png
aligned_fb03_custom_motion1,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1972da23dfed1470925230ee4fb31c6ede4b624e.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion1_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImage1972da23dfed1470925230ee4fb31c6ede4b624e_pose.png
aligned_fb04_custom_motion1,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImagefc7e91a057314f4aa00f22b3aa00cafa3e31d756.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion1_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImagefc7e91a057314f4aa00f22b3aa00cafa3e31d756_pose.png
aligned_fb01_custom_motion2,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion2_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123_pose.png
aligned_fb02_custom_motion2,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImagec13ac940fa4ee5cc9ba7eb4cab1f7535b6007194.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion2_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImagec13ac940fa4ee5cc9ba7eb4cab1f7535b6007194_pose.png
aligned_fb03_custom_motion2,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1972da23dfed1470925230ee4fb31c6ede4b624e.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion2_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImage1972da23dfed1470925230ee4fb31c6ede4b624e_pose.png
aligned_fb04_custom_motion2,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImagefc7e91a057314f4aa00f22b3aa00cafa3e31d756.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/custom_motion/dwpose/motion2_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImagefc7e91a057314f4aa00f22b3aa00cafa3e31d756_pose.png
aligned_fb01_th001_motion1,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/motion_pose/001_motion1_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123_pose.png
aligned_fb02_th001_motion1,"A full-body person or stylized human character remains fully visible from head to toe and follows the provided motion precisely. Keep the same identity, face shape, eyes, nose, lips, jawline, hairstyle, clothing, and body proportions across all frames. Keep stable framing, preserve clear legs, feet, hands, and natural limb lengths, and avoid zoom-in, cropping, identity drift, face changes, blur, or extra limbs.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImagec13ac940fa4ee5cc9ba7eb4cab1f7535b6007194.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/motion_pose/001_motion1_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_pose/wholebody/fullImagec13ac940fa4ee5cc9ba7eb4cab1f7535b6007194_pose.png
