sample_id,prompt,audio,person_image,product_image
003_a2v_cn,"A young woman in a half-body portrait speaks naturally to the camera and performs rich explanatory hand gestures near chest level, with smooth lip articulation and calm facial dynamics. Brings both hands into frame near chest level while beginning speech Alternates small inward and outward hand motions to match phrase rhythm Finishes with hands relaxed and stable upper-body posture",/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/shangyue2.m4a,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/fullImage4d7b62b981f995495a9051a66459910092859bbe.jpg,
008_a2v_cn,A young man in a half-body portrait addresses the camera with stable lip-sync and deliberate hand gestures that enter the frame naturally during key speaking moments. Brings both hands into frame near chest level while starting speech Performs moderate inward-outward hand gestures in sync with phrase timing Returns hands out of frame and keeps upper-body motion smooth,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/shangyue2.m4a,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/fullImage2423d0176e605ccff7d64febbb6ee56d06dffda9.jpg,
006_a2v_cn,"A young man in a half-body frame speaks with clear articulation and frequent natural hand gestures, maintaining a composed expression and smooth head motion. Raises one hand then the other for alternating emphasis while speaking Uses compact forward hand motions to underline key points Settles both hands to a relaxed position at the end",/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/shangyue2.m4a,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/fullImage69ea70561eea66a112b477914cede01cce534f7e.jpg,
011_a2v_cn,"A young man in cartoon style full-body view speaks with animated facial timing and expressive broad hand gestures, while preserving clean lip-sync and body balance. Begins with an energetic full-body stance and raises both hands Performs broad cartoon-style hand gestures to accent key words Ends with hands lowered and a balanced full-body posture",/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/shangyue2.m4a,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImageb6317df5802e3193856a467a845c883bcaef27d9.jpg,
008_a2v_en,A young man in a half-body portrait addresses the camera with stable lip-sync and deliberate hand gestures that enter the frame naturally during key speaking moments. Brings both hands into frame near chest level while starting speech Performs moderate inward-outward hand gestures in sync with phrase timing Returns hands out of frame and keeps upper-body motion smooth,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/Beyonce.m4a,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/fullImage2423d0176e605ccff7d64febbb6ee56d06dffda9.jpg,
005_a2v_en,"A young woman in a cartoon-style half-body look speaks energetically with lively hand motions, expressive timing, and stable lip-sync. Starts with playful expression and raises both hands near shoulder level Performs lively rhythmic hand gestures matching speech cadence Ends with a soft smile and hands returning to a relaxed pose",/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/Beyonce.m4a,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/fullImage8c4fd21edc6476f7c9735ad6b728c1e9d4e355e1.jpg,
007_a2v_en,"A young man outdoors in a half-body shot keeps his left hand in his pocket, holds a coffee cup in his right hand, and speaks to the camera with natural lip-sync and expressive right-hand cup gestures. Keeps left hand in pocket and lifts right hand holding coffee near chest level Uses right-hand coffee-holding gestures to emphasize speech rhythm Lowers the cup slightly and maintains steady camera-facing posture",/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/Beyonce.m4a,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/fullImage110a004b18550a5c7252dd647048baf276d426a5.jpg,
001_sing,Make an OK sign with one hand Raise one hand Form an OK sign with fingers,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/001.WAV,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/001.png,
003_sing,Hand clenches in a fist to cheer Hand clenches in a fist Cheer with clenched fist,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/003.WAV,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/003.png,
hw_1_ref,"A young woman in a half-body portrait against a green background speaks warmly to the camera, wearing a cream buttoned cardigan and black pants, with natural lip-sync and composed upper-body motion. Starts from a relaxed front-facing stance with both arms near the sides Raises both hands gently to lower chest level while speaking Uses small natural open-palm gestures in front of the torso, keeping the hands separated and never crossing",/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/audio/hw_1_30s_2.wav,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/halfbody/hw_1_ref.png,
