sample_id,prompt,audio,person_image,product_image,pose_video,source_clip,motion_tag
th_motion1_handwave,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/th_motion1_handwave_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/th_motion1_handwave.mp4,fullbody-simple
th_motion2_gentle_shift,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/th_motion2_gentle_shift_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/th_motion2_gentle_shift.mp4,fullbody-simple
th_motion5_first4s,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/th_motion5_first4s_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/th_motion5_first4s.mp4,fullbody-long-trimmed
zsy_dianzan_thumbup,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/zsy_dianzan_thumbup_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/zsy_dianzan_thumbup.mp4,simple-upperbody-secondary
zsy_say_hi_wave,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/zsy_say_hi_wave_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/zsy_say_hi_wave.mp4,simple-upperbody-secondary
tiktok_00033_walk,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/tiktok_00033_walk_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/tiktok_00033_walk.mp4,fullbody-natural
tiktok_00131_gentle_turn,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/tiktok_00131_gentle_turn_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/tiktok_00131_gentle_turn.mp4,fullbody-natural
tiktok_00235_outdoor_stand,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/tiktok_00235_outdoor_stand_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/tiktok_00235_outdoor_stand.mp4,fullbody-natural
tiktok_00270_stand_arm,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/tiktok_00270_stand_arm_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/tiktok_00270_stand_arm.mp4,fullbody-natural
ubc_916iz4hbIJS_turn,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/ubc_916iz4hbIJS_turn_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/ubc_916iz4hbIJS_turn.mp4,fullbody-runway-control
ubc_91ierZSo5hS_turn,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/ubc_91ierZSo5hS_turn_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/ubc_91ierZSo5hS_turn.mp4,fullbody-runway-control
ubc_A15g0ekJ1US_turn,"A full-body person follows the provided motion with stable facial identity, stable eyes, stable nose, stable lips, stable jawline, and stable whole-body proportions.",,/data1/workspace/linxinliang/InteractAvatar/InterDemo/TalkingHumanDemo_fullbody/test_data/ref_img/wholebody/fullImage1a3b5329d192f028c14bc03d20c24afa629a3123.jpg,,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/dwpose_qilin_aligned/ubc_A15g0ekJ1US_turn_qilin_aligned_pose.mp4,/data1/workspace/linxinliang/InteractAvatar/InterDemo/simple_motion_pose_bank_20260814/raw_25fps_max4s/ubc_A15g0ekJ1US_turn.mp4,fullbody-runway-control
